Tempo,Couples,Devisor,Dance
Jig,2,Drewry,Glayva
Jig,2,Foss,The Wee Cooper o' Fife
Jig,2,Goldring,Off to Speyside
Jig,3,Drewry,Jennifer's Jig
Jig,3,Foss,Roaring Jelly
Jig,3,Goldring,EH3 7AF
Jig,4,Drewry,The Wild Goose Chase
Jig,4,Foss,The Fountain
Jig,4,Goldring,Antarctica Bound
Jig,5,Drewry,The Quincentenary Jig
Jig,5,Foss,Airie Bennan
Jig,5,Goldring,Inchmickery
Strathspey,2,Drewry,The Magic Airt o' Gow
Strathspey,2,Foss,Curleywee
Strathspey,2,Goldring,The Lammermuir Hills
Strathspey,3,Drewry,The Silver Tassie
Strathspey,3,Foss,John McAlpin
Strathspey,3,Goldring,The Minister on the Loch
Strathspey,4,Drewry,The Belle of Bon Accord 
Strathspey,4,Foss,Lucy of Lammermoor
Strathspey,4,Goldring,Bill Little's Strathspey
Strathspey,5,Drewry,Ballynaree
Strathspey,5,Foss,Loch Doon Castle
Strathspey,5,Goldring,Rannoch Moor
Reel,2,Drewry,Netherby Hall
Reel,2,Foss,Auchencairn
Reel,2,Goldring,Thornycroft
Reel,3,Drewry,Ferla Mor
Reel,3,Foss,J.B. Milne
Reel,3,Goldring,The Reel of the Royal Scots
Reel,4,Drewry,The Earl of Mansfield
Reel,4,Foss,Rob Roy
Reel,4,Goldring,The Westgate Reel
Reel,5,Drewry,The Black Black Oil
Reel,5,Foss,Polharrow Burn
Reel,5,Goldring,Hamilton Hospitality
